ID,File_Name,Crop_Index,R_mean,G_mean,B_mean
M_104_1,M_104_1.mp4_sec_0024.jpg,8,209.2099,166.5935,176.5492
M_104_1,M_104_1.mp4_sec_0024.jpg,9,208.9187,165.9187,175.9187
M_104_1,M_104_1.mp4_sec_0024.jpg,10,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0025.jpg,1,208.2313,165.2313,175.2313
M_104_1,M_104_1.mp4_sec_0025.jpg,2,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0025.jpg,3,207.9956,164.9956,174.9956
M_104_1,M_104_1.mp4_sec_0025.jpg,4,208.5373,166.0059,174.9113
M_104_1,M_104_1.mp4_sec_0025.jpg,5,208.1863,165.1863,175.1863
M_104_1,M_104_1.mp4_sec_0025.jpg,6,211.5233,171.0554,180.3215
M_104_1,M_104_1.mp4_sec_0025.jpg,7,207.9024,164.9557,175.2336
M_104_1,M_104_1.mp4_sec_0025.jpg,8,208.235,165.235,175.235
M_104_1,M_104_1.mp4_sec_0025.jpg,9,208.1042,165.1042,175.1042
M_104_1,M_104_1.mp4_sec_0025.jpg,10,208.0,164.9941,175.0089
M_104_1,M_104_1.mp4_sec_0026.jpg,1,208.7864,165.813,175.8101
M_104_1,M_104_1.mp4_sec_0026.jpg,2,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0026.jpg,3,208.3356,165.371,175.371
M_104_1,M_104_1.mp4_sec_0026.jpg,4,209.0,166.0,176.0
M_104_1,M_104_1.mp4_sec_0026.jpg,5,208.7435,165.7435,175.7435
M_104_1,M_104_1.mp4_sec_0026.jpg,6,208.5831,165.5831,175.5831
M_104_1,M_104_1.mp4_sec_0026.jpg,7,207.9985,164.9985,174.9985
M_104_1,M_104_1.mp4_sec_0026.jpg,8,208.0044,165.0044,175.0044
M_104_1,M_104_1.mp4_sec_0026.jpg,9,208.847,165.847,175.847
M_104_1,M_104_1.mp4_sec_0026.jpg,10,208.524,165.524,175.524
M_104_1,M_104_1.mp4_sec_0027.jpg,1,207.7384,165.2528,174.1833
M_104_1,M_104_1.mp4_sec_0027.jpg,2,208.8914,165.8914,175.8914
